originalPlace	interpretedPlace	longitude	latitude	xmin	xmax	ymin	ymax	uncertainty
'Associazione Romana di Entomologia', 'Italy'	NA	NA	NA	NA	NA	NA	NA	NA
'Atlas survey of the Butterflies of Denmark', 'Denmark'	NA	NA	NA	NA	NA	NA	NA	NA
'ATOLep Collection', 'College Park, United States'	College Park, MD, USA	-76.93776	38.9896967	-76.965351	-76.9091469	38.971109	39.025559	3158
'Aussenstelle der Universitaet', 'Germany'	Pienner Str. 8, 01737 Tharandt, Germany	13.5812511	50.9794373	13.5799021	13.5826001	50.9780883	50.9807863	177
'Australian Antarctic Data Centre', 'Hobart, Australia'	20 Castray Esplanade, Battery Point TAS 7004, Australia	147.3357869	-42.8861436	147.3344379	147.3371359	-42.8874926	-42.8847946	186
'Australian Biological Resources Study', 'Canberra, Australia'	Canberra ACT 2601, Australia	149.1300092	-35.2809368	149.1207312	149.1376675	-35.2873252	-35.2752841	937
'Australian Collection of Microorganisms', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian Coral Ecoregions', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian Legume Inoculants Research Unit', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian Mycological Panel', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian National Insect Collection', 'Canberra City, Australia'	Canberra ACT 2601, Australia	149.1300092	-35.2809368	149.1207312	149.1376675	-35.2873252	-35.2752841	937
'Australian National Insect Collection, CSIRO Entomology', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian National Reference Laboratory in Medical Mycology', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian Ocean Biogeographic Information System (OBIS Australia)', 'Australia'	Australia	133.775136	-25.274398	100.0911072	166.7429167	-54.8337658	-0.6911344	4283914
'Australian Research Council', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Australian Tree Seed Centre', 'Australia'	Australia	133.775136	-25.274398	100.0911072	166.7429167	-54.8337658	-0.6911344	4283914
'Austrian Center of Biological Resources and Applied Mycology', 'Austria'	NA	NA	NA	NA	NA	NA	NA	NA
'Ayurveda Regional Research Institute', 'Itanagar, India'	NA	NA	NA	NA	NA	NA	NA	NA
'Azerbaijan Geology Museum', 'Baku, Azerbaijan'	28 Mikayil Üseynov küç., Bulvar, Bakı, Azerbaijan	49.8355428	40.3597767	49.8341938	49.8368918	40.3584277	40.3611257	189
'Bacillus Genetic Stock Center', 'United States'	NA	NA	NA	NA	NA	NA	NA	NA
'Bacteria collection of National Institute of Public Health, National Medicines Institute, Poland', 'Poland'	Poland	19.145136	51.919438	14.1228641	24.1458931	49.002025	54.9054761	469905
'Bacterial Collection', 'France'	France	2.213749	46.227638	-5.5591	9.6624999	41.31433	51.1241999	772195
'Bacterial collection of Universita degli studi della basilicata, Dipartimento di Biologia', 'Italy'	Via Nazario Sauro, 85, 85100 Potenza PZ, Italy	15.8086005	40.6470849	15.8072515	15.8099495	40.6457359	40.6484339	188
'Bacterial Culture Collection', 'Belgium'	Belgium	4.469936	50.503887	2.5240999	6.4081241	49.497013	51.5051449	175816
'Bacteriology and Soil Microbiology Branch', 'Thailand'	Thailand	100.992541	15.870032	97.343396	105.636812	5.613038	20.465143	707071
'Bacteriology Branch, Plant Pathology and Microbiology Division, Department of Agricultural Science', 'Thailand'	NA	NA	NA	NA	NA	NA	NA	NA
'Bacup Natural History Society', 'Bacup, United Kingdom'	24 Yorkshire St, Bacup OL13 9AE, UK	-2.1998321	53.7039239	-2.2011811	-2.1984831	53.7025749	53.7052729	175
'Banc de dades de biodiversitat de Catalunya', 'Barcelona, Spain'	Barcelona, Spain	2.1734035	41.3850639	2.0695258	2.2280099	41.320004	41.4695761	10437
'Banco de Celulas Humanas e Animais Laboratorio de Patologia Celular e Molecular', 'Brazil'	PTX - Parque Tecnológico de Xerém - Av. Nossa Sra. das Graças, 50 - Vila Nossa Sra. das Gracas, Duque de Caxias - RJ, 25250-020, Brazil	-43.2884824	-22.5952675	-43.2898314	-43.2871334	-22.5966165	-22.5939185	204
'Banco de Fermentos Lacticos', 'Brazil'	Brazil	-51.92528	-14.235004	-73.9828169	-28.650543	-34.0891	5.2717863	3125608
'Banding Zoological Museum', 'Indonesia'	NA	NA	NA	NA	NA	NA	NA	NA
'Banff Museum, North East of Scotland Library Service Museum Service', 'Banff, United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'Bangkok Herbarium, Department of Agriculture, Plant Variety Protection Office', 'Bangkok, Thailand'	Bangkok, Thailand	100.5017651	13.7563309	100.3278136	100.938408	13.4940881	13.955111	34584
'Banque de Ressources Fongiques de Marseille', 'France'	Marseille, France	5.36978	43.296482	5.228641	5.5323519	43.169621	43.3911601	16864
'Barton-on-Humber Grammar School', 'Barton-On-Humber, United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'Basque Country University, Laboratory of Zoology', 'Spain'	Barrio Sarriena, s/n, 48940 Leioa, Bizkaia, Spain	-2.9678921	43.3309433	-2.9692411	-2.9665431	43.3295943	43.3322923	186
'Basque Government', 'Vitoria-Gasteiz, Spain'	Vitoria-Gasteiz, Álava, Spain	-2.6817918	42.8591656	-2.7226537	-2.6316625	42.8298855	42.8781884	4609
'Bath Natural History Society', 'Bath, United Kingdom'	16-18 Queen Square, Bath BA1 2HN, UK	-2.3643831	51.3832577	-2.3657321	-2.3630341	51.3819087	51.3846067	177
'Baysgarth Museum, Glanford Borough Council', 'Barton-On-Humber, United Kingdom'	Baysgarth House Museum Baysgarth Park, Caistor Rd, Barton-upon-Humber DN18 6AH, United Kingdom	-0.439042	53.680519	-0.440391	-0.437693	53.67917	53.681868	175
'BCCM/IHEM', 'Belgium'	NA	NA	NA	NA	NA	NA	NA	NA
'Bedfordshire Natural History Society', 'Bedford, United Kingdom'	Bedford, UK	-0.4666565	52.1359735	-0.6687744	-0.2407452	52.0545323	52.3229384	16552
'Bedfordshire Natural History Society', 'Bedford, United Kingdom'	Priory Country Park/Barkers La, Bedford MK41 9DJ, United Kingdom	-0.4367254	52.1324192	-0.4380744	-0.4353764	52.1310702	52.1337682	176
'Belfast Natural History and Philosophical Society', 'Belfast, United Kingdom'	Belfast, UK	-5.93012	54.597285	-6.04526	-5.8080046	54.53055	54.65921	10475
'Belfast Naturalists Field Club', 'Belfast, United Kingdom'	Belfast, UK	-5.93012	54.597285	-6.04526	-5.8080046	54.53055	54.65921	10475
'Belgian Coordinated Collections of Microorganisms / LMBP Plasmid Collection', 'Belgium'	NA	NA	NA	NA	NA	NA	NA	NA
'Belgian Coordinated Collections of Microorganisms/ LMG Bacteria Collection', 'Belgium'	NA	NA	NA	NA	NA	NA	NA	NA
'Belgium Biodiversity Platform', 'Brussels, Belgium'	NA	NA	NA	NA	NA	NA	NA	NA
'Belle Vue Museum, Central Library', 'Halifax, United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'Benaki Phytopathological Institute Collection', 'Greece'	NA	NA	NA	NA	NA	NA	NA	NA
'Bermuda Department of Agriculture and Fisheries', 'Bermuda'	Bermuda	-64.7505	32.3078	-64.8914	-64.6413999	32.2424975	32.3961	14190
'Bernard Price Institute for Palaeontological Research', 'South Africa'	NA	NA	NA	NA	NA	NA	NA	NA
'Bingham Oceanographic Collection', 'United States'	8622 Kennel Way, La Jolla, CA 92037, USA	-117.2503233	32.8681401	-117.2516723	-117.2489743	32.8667911	32.8694891	196
'BioCentro-UNELLEZ', 'Mesa De Cavacas, Venezuela'	NA	NA	NA	NA	NA	NA	NA	NA
'Biodiversity Data Journal', 'Sofia, Bulgaria'	Sofia, Bulgaria	23.3218675	42.6977082	23.1909885	23.4569049	42.4900111	42.7877752	14912
'Biodiversity Exploratories', 'Frankfurt am Main, Germany'	Frankfurt, Germany	8.6821267	50.1109221	8.4727299	8.8003977	50.0152145	50.2272095	15450
'BioGIS - Israel Biodiversity Website', 'Israel'	Israel	34.851612	31.046051	34.2673871	35.896244	29.4797	33.332805	182514
'Biological Control of Weeds Laboratory-Europe', 'Italy'	Italy	12.56738	41.87194	6.6267201	18.7975999	35.4897	47.092	762462
'Biological Control Research Institute', 'India'	Bellary Road, H.A. Farm Post, Hebbal, Bengaluru, Karnataka 560024, India	77.584256	13.0269902	77.582907	77.585605	13.0256412	13.0283392	209
'Biological Institute Culture Collection of Phytopathogenic Bacteria', 'Brazil'	NA	NA	NA	NA	NA	NA	NA	NA
'Biological Institute Titograd', 'NA'	Podgorica, Montenegro	19.2593642	42.4304196	19.1815065	19.3302512	42.368358	42.4956435	9300
'Biological Nitrogen Fixation Project College of Agriculture', 'India'	India	78.96288	20.593684	68.1097	97.3953587	6.4626999	35.513327	1953528
'Biological Science Museum at Faculaty of Science', 'Chiang Mai, Thailand'	239 Huaykaew Rd, Tambon Su Thep, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50200, Thailand	98.9560665	18.8015836	98.9547175	98.9574155	18.8002346	18.8029326	206
'Biological Science Museum at Faculaty of Science', 'Chiang Mai, Thailand'	Su Thep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand	98.9500373	18.8027247	98.9486883	98.9513863	18.8013757	18.8040737	206
'Biological Sciences', 'Zimbabwe'	630 Churchill Avenue, Harare, Zimbabwe	31.054561	-17.784983	31.053212	31.05591	-17.786332	-17.783634	207
'Biological Station Reference Museum at Porto Novo', 'India'	Parangipettai, Tamil Nadu, India	79.7568107	11.5084474	79.7394266	79.7733267	11.4814921	11.5295877	2952
'Biological Survey of Canada', 'Ottawa, Canada'	Ottawa, ON, Canada	-75.6971931	45.4215296	-76.3539159	-75.2465979	44.962733	45.5375801	37517
'Biologicky Ustav', 'Czechia'	Branišovská 1160/31, 370 05 České Budějovice, Czechia	14.447845	48.9775292	14.446496	14.449194	48.9761802	48.9788782	180
'Biologische Anstalt Helgoland Marine Station', 'Germany'	Kurpromenade 201, 27498 Helgoland, Germany	7.88884	54.18286	7.887491	7.890189	54.181511	54.184209	174
'Biologische Anstalt Helgoland Marine Station', 'Germany'	Am Binnenhafen 1117, 27498 Helgoland, Germany	7.8903488	54.1781186	7.8889998	7.8916978	54.1767696	54.1794676	174
'Biology Centre of the Academy of Sciences of the Czech Republic, Institute of Entomology', 'Cesk Budejovice, Czechia'	NA	NA	NA	NA	NA	NA	NA	NA
'Bioresource Collection and Research Center', 'Taiwan'	No. 331號, Shipin Road, East District, Hsinchu City, Taiwan 300	120.9708299	24.7934619	120.9694809	120.9721789	24.7921129	24.7948109	202
'Biotechnology Research and Development Institute Vietnam', 'Vietnam'	18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam	105.801282	21.0481227	105.799933	105.802631	21.0467737	21.0494717	205
'BirdLife Australia', 'Australia'	2-05/60 Leicester St, Carlton VIC 3053, Australia	144.9607964	-37.8049064	144.9594474	144.9621454	-37.8062554	-37.8035574	191
'Bogdan Khmel nysckyi State Pedagogical University of Melitopol , Botany Department', 'Melitopol', Ukraine'	Hetmanska St, 20, Melitopol', Zaporiz'ka oblast, Ukraine, 72300	35.3782564	46.8423281	35.3769074	35.3796054	46.8409791	46.8436771	182
'Bolton Botanical Society', 'Bolton, United Kingdom'	Martin Ford Landscapes, 66 Dixon Green Dr, Farnworth, Bolton BL4 7EQ, UK	-2.4082913	53.5503645	-2.4096403	-2.4069423	53.5490155	53.5517135	175
'Bolton Linnean Society', 'Bolton, United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'Boothstown Botanical Society', 'Boothstown, United Kingdom'	Boothstown, Worsley, Manchester M28, UK	-2.4148635	53.5040637	-2.4283647	-2.4066334	53.4946456	53.5075205	668
'Boston Society of Natural History', 'United States'	Boston, MA, USA	-71.0588801	42.3600825	-71.191113	-70.749455	42.22788	42.4008199	18291
'Botanical Garden, Sakhalin Complex Institute for Scientific Investigation', 'Novo-Aleksandrovsk, Russia'	Novo-Aleksandrovsk, Sakhalin Oblast, Russia	142.7266563	47.0539372	142.711298	142.748323	47.029679	47.068441	2304
'Botanical Survey of India, Andaman and Nicobar Circle', 'Port Blairs, India'	Port Blair, Andaman and Nicobar Islands, India	92.7264828	11.6233774	92.686522	92.7575674	11.546866	11.6898488	8097
'Botanical Survey of India, Deccan Regional Centre', 'Hyderabad, India'	Sai Hills Colony, Attapur, Hyderabad, Telangana 500030, India	78.4285194	17.3563009	78.4271704	78.4298684	17.3549519	17.3576499	207
'Botswana College of Agriculture', 'Gaborone, Botswana'	NA	NA	NA	NA	NA	NA	NA	NA
'Botswana Wildlife Management Association', 'Maun, Botswana'	Maun, Botswana	23.4180769	-19.9952622	23.3816529	23.456154	-20.0402891	-19.9604414	5544
'Bovine Genome Resources Bank', 'Gyeongsan-si, South Korea'	Gyeongsan-si, Gyeongsangbuk-do, South Korea	128.7415441	35.8250555	128.6804441	128.9720044	35.7000483	35.9974206	14930
'BPPT Ethanol-Single Cell Protein-Fructose Syrup Technical Unit', 'Indonesia'	NA	NA	NA	NA	NA	NA	NA	NA
'Bradford Art Galleries and Museumstural Sciences Department', 'Bradford, United Kingdom'	Lister Park, Bradford BD9 4NS, UK	-1.7718571	53.812124	-1.7732061	-1.7705081	53.810775	53.813473	174
'Braintree and Bocking Natural History Club', 'Braintree, United Kingdom'	Braintree & Bocking Public Gardens, 43 Bocking End, Braintree CM7 9AE, UK	0.553979	51.883669	0.55263	0.555328	51.88232	51.885018	177
'Brassica Resource Bank', 'Daejeon, South Korea'	Daejeon, South Korea	127.3845475	36.3504119	127.2464501	127.5590436	36.1833708	36.4999476	22306
'Brathay Field Centre for Exploration and Field Studies', 'Ambleside, United Kingdom'	Ambleside LA22, UK	-2.961333	54.428736	-2.9838907	-2.9385756	54.4162699	54.4402073	1952
'Brazilian Collection of Microorganisms from the Environment and Industry (Colecao Brasileira de Microrganismos de Ambiente e Industria)', 'Brazil'	Brazil	-51.92528	-14.235004	-73.9828169	-28.650543	-34.0891	5.2717863	3125608
'Bridge of Allan Museum', 'Bridge Of Allan, United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'Bristol Regional Environmental Records Centre', 'United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'British Bryological Society', 'United Kingdom'	United Kingdom	-3.435973	55.378051	-8.8988999	33.9165549	34.5614	60.9157	2250062
'British Geological Survey', 'United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'British Lichen Society', 'United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
'Brittany Microbe Culture collection', 'France'	NA	NA	NA	NA	NA	NA	NA	NA
'Brucella Culture Collection', 'France'	France	2.213749	46.227638	-5.5591	9.6624999	41.31433	51.1241999	772195
'Brunei Museum', 'Brunei'	482 Jln Kota Batu, Kampung Kota Batu, Brunei	114.9685318	4.8818364	114.9671828	114.9698808	4.8804874	4.8831854	211
'Bulgarian Academy of Sciences', 'Sofia, Bulgaria'	"ul. ""Serdika"" 4, 1000 Sofia Center, Sofia, Bulgaria"	23.32488	42.69821	23.323531	23.326229	42.696861	42.699559	186
'Bulgarian Academy of Sciences', 'Sofia, Bulgaria'	София, ул. 15 ноември 1, Bulgaria	23.33214	42.69452	23.330791	23.333489	42.693171	42.695869	186
'Bulgarian Academy of Sciences, Institute of Biodiversity and Ecosystem Research', 'Sofia, Bulgaria'	Sofia, Bulgaria	23.3218675	42.6977082	23.1909885	23.4569049	42.4900111	42.7877752	14912
'Bulgarian Research Culture Collection', 'Bulgaria'	Bulgaria	25.48583	42.733883	22.3573446	28.7292001	41.2354469	44.2153059	308052
'Bulgarian Type Culture Collection', 'Bulgaria'	NA	NA	NA	NA	NA	NA	NA	NA
'Bundesanstalt fur Geowissenschaften und Rohstoffe', 'Germany'	NA	NA	NA	NA	NA	NA	NA	NA
'Bungay Botanical Society', 'Bungay, United Kingdom'	Bungay NR35, UK	1.443976	52.455457	1.4093763	1.4677154	52.4245821	52.4712068	2382
'Bureau of Commercial Fisheries', 'United States'	United States	-95.712891	37.09024	-124.39	-66.885417	18.7763	71.5388001	3452879
'Bureau of Mineral Resources', 'Australia'	NA	NA	NA	NA	NA	NA	NA	NA
'Bvumbwe Experiment Station', 'Malawi'	NA	NA	NA	NA	NA	NA	NA	NA
'Crculo Herpetolgico de Panam', 'Panama'	NA	NA	NA	NA	NA	NA	NA	NA
'CABI Collection', 'Richmond, United Kingdom'	NA	NA	NA	NA	NA	NA	NA	NA
